(ATE),0.098868733,0.074076459,0.039694209,0.045272051,0.096263799,0.083333333,0.045991816,0.101788252,0.101181489,0.297919043,0.253991059,0.031653849,0.07644383,0.095449692,0.005626509,0.007581618,0.028634076,0.010602217,0.132362877,0.122208039,0.018099616,0.05480763,0.102325544,0.087789832,0.055837879,0.234954987,0.085175605,0.018350682,0.07789701,0.007105701,0.097852172,0.045272051,0.031653849,0.09213464,0.07644383,0.120993805,0.13096748,0.005590111,0.294738654,0.055837879,0.018099616,0.087789832,0.037157821,0.087789832,0.091864253,0.031653849,0.28604205,0.063778006,0.071938155,0.082278332,0.139707588,0.037157821,0.234954987,0.085175605,0.022927376
(SM),0.119444479,0.079747878,0.025243643,0.059695146,0.052668224,0.083333333,0.052760116,0.05972763,0.090501525,0.212559827,0.197593949,0.066204866,0.041598799,0.037918251,0.008548998,0.01040705,0.028530039,0.028800711,0.087343769,0.049679565,0.020216742,0.018769285,0.08284461,0.0327783,0.067134444,0.146654388,0.056999875,0.015437445,0.050691446,0.073389173,0.118592971,0.059695146,0.066204866,0.0649555,0.041598799,0.147337366,0.069439885,0.008520612,0.208138191,0.067134444,0.020216742,0.0327783,0.098304607,0.0327783,0.091254201,0.066204866,0.20259647,0.038623782,0.068131685,0.058810988,0.104282146,0.098304607,0.146654388,0.056999875,0.019760674
(GIS),0.01410272,0.080900414,0.074603154,0.06434978,0.04531101,0.083333333,0.092717905,0.137503747,0.044154626,0.143865944,0.160236605,0.057856644,0.049440041,0.111151513,0.012350906,0.012490528,0.051066184,0.060663659,0.075017087,0.06196875,0.018179163,0.096130418,0.036474432,0.032727909,0.05145689,0.114530167,0.060181918,0.065479686,0.021155676,0.038360599,0.014056593,0.06434978,0.057856644,0.092345158,0.049440041,0.104646114,0.164402792,0.010932845,0.154129077,0.05145689,0.018179163,0.032727909,0.056850481,0.032727909,0.069765877,0.057856644,0.14986897,0.100355118,0.078871944,0.058311866,0.082053713,0.056850481,0.114530167,0.060181918,0.036638112
(IOS),0.145735863,0.113193516,0.024181902,0.04083592,0.030890323,0.083333333,0.063562278,0.069260092,0.015845787,0.095597169,0.108788248,0.04985458,0.109172952,0.046673772,0.015964734,0.018984114,0.124846508,0.08330364,0.106148131,0.022018571,0.184853963,0.012400853,0.018478219,0.043974849,0.043962603,0.025403767,0.064127075,0.032546782,0.010386669,0.049901972,0.145936811,0.04083592,0.04985458,0.074420948,0.109172952,0.020586721,0.015224395,0.036227394,0.104728489,0.043962603,0.184853963,0.043974849,0.065628629,0.043974849,0.069759485,0.04985458,0.113654508,0.055986756,0.075296774,0.058048322,0.084992618,0.065628629,0.025403767,0.064127075,0.02146973
(IOS2),0.025036223,0.056718688,0.156898444,0.150454885,0.047147014,0.083333333,0.118966484,0.076364079,0.021958596,0.073762378,0.084470209,0.085295336,0.16625815,0.081835824,0.024975353,0.025799485,0.100679994,0.09470042,0.051866937,0.024143146,0.17636989,0.033966579,0.032413753,0.162127693,0.071408928,0.04574279,0.079828613,0.046106971,0.076578566,0.113599796,0.024674104,0.150454885,0.085295336,0.053594939,0.16625815,0.062987946,0.015835599,0.113307648,0.076054594,0.071408928,0.17636989,0.162127693,0.074075932,0.162127693,0.055060189,0.085295336,0.07793498,0.084755667,0.052909883,0.096281146,0.089647203,0.074075932,0.04574279,0.079828613,0.061500927
(IOS3),0.063500525,0.083531744,0.115861598,0.12595526,0.053241967,0.083333333,0.102817276,0.061827398,0.025919369,0.057990136,0.061835547,0.100086013,0.06158459,0.067354684,0.035941103,0.038474328,0.052964092,0.050423294,0.085987317,0.020321801,0.079853955,0.078259368,0.057265801,0.064335223,0.090726776,0.082066261,0.085805476,0.095145901,0.117740562,0.075782649,0.062915384,0.12595526,0.100086013,0.095344882,0.06158459,0.080452437,0.170071999,0.06830482,0.051355573,0.090726776,0.079853955,0.064335223,0.077398933,0.064335223,0.062004121,0.100086013,0.053999997,0.059651723,0.086542863,0.071331279,0.077682015,0.077398933,0.082066261,0.085805476,0.098236389
(CTO),0.056650195,0.079202819,0.083669151,0.173093898,0.056502698,0.083333333,0.11135865,0.132082392,0.032848147,0.039862928,0.04119418,0.079819908,0.100416793,0.164747398,0.051481742,0.044640652,0.042506218,0.135431444,0.097919492,0.180452139,0.062388463,0.15823701,0.154171853,0.104369081,0.155391072,0.123416216,0.087818634,0.110868312,0.075259801,0.083341722,0.054103398,0.173093898,0.079819908,0.099943315,0.100416793,0.111629855,0.293475779,0.05120316,0.038387254,0.155391072,0.062388463,0.104369081,0.066750697,0.104369081,0.133304306,0.079819908,0.038663408,0.071639963,0.089993816,0.054001986,0.081289584,0.066750697,0.123416216,0.087818634,0.087975522
(IAT),0.058299049,0.074525746,0.044879055,0.099952229,0.116260119,0.083333333,0.103396897,0.067842262,0.096523362,0.026671549,0.03116299,0.099191193,0.107883352,0.092107966,0.07541889,0.076544546,0.168699307,0.093121247,0.047615783,0.106435642,0.088264103,0.084223408,0.042820551,0.088054425,0.098987433,0.044667783,0.081818335,0.075440258,0.107010048,0.080020463,0.057829556,0.099952229,0.099191193,0.081728764,0.107883352,0.102713034,0.021555192,0.273869247,0.026221748,0.098987433,0.088264103,0.088054425,0.143509094,0.088054425,0.083376766,0.099191193,0.026278048,0.082239912,0.080754294,0.071597113,0.051757813,0.143509094,0.044667783,0.081818335,0.070506783
(IIS),0.037298987,0.086795655,0.115294787,0.096375577,0.119763518,0.083333333,0.081430134,0.067513263,0.102101458,0.018692039,0.024503848,0.097981255,0.131099002,0.086991722,0.109417369,0.097154067,0.123035186,0.080569432,0.126991743,0.17254574,0.071073833,0.043292189,0.066123099,0.045909222,0.047994035,0.042548349,0.096535564,0.197588517,0.176437271,0.165662884,0.036833951,0.096375577,0.097981255,0.126628385,0.131099002,0.040824007,0.021555192,0.1127943,0.017312646,0.047994035,0.071073833,0.045909222,0.032280937,0.045909222,0.08813198,0.097981255,0.018451731,0.13143218,0.087027536,0.163734896,0.103677879,0.032280937,0.042548349,0.096535564,0.057771058
(ELC),0.172734552,0.079618282,0.131408117,0.036808229,0.111702573,0.083333333,0.079568037,0.051963208,0.125954929,0.014489456,0.01662996,0.149585617,0.02687837,0.065649827,0.158804192,0.141366528,0.088913714,0.148405669,0.027568434,0.122589025,0.064991477,0.066001425,0.077632182,0.082238455,0.082572629,0.07239462,0.091339852,0.081542784,0.027638483,0.102299827,0.189206208,0.036808229,0.149585617,0.08355765,0.02687837,0.050174134,0.032490562,0.205795836,0.01270705,0.082572629,0.064991477,0.082238455,0.12037142,0.082238455,0.090513206,0.149585617,0.015071402,0.112695729,0.097435594,0.131505745,0.068137086,0.12037142,0.07239462,0.091339852,0.101146041
(ComentAp),0.112851064,0.098463716,0.109376978,0.028048423,0.140575784,0.083333333,0.060829676,0.084404191,0.122324805,0.010905179,0.011633126,0.094109944,0.05936641,0.080826507,0.207953898,0.210024565,0.093728982,0.098591426,0.02933607,0.08043086,0.091940624,0.139455518,0.045708033,0.129130292,0.110292749,0.033037291,0.102594633,0.052949125,0.067013848,0.092469366,0.110338869,0.028048423,0.094109944,0.081074845,0.05936641,0.07678354,0.032490562,0.078723938,0.009880336,0.110292749,0.091940624,0.129130292,0.096035995,0.129130292,0.064940711,0.094109944,0.010154098,0.136282111,0.110772076,0.083089605,0.0536336,0.096035995,0.033037291,0.102594633,0.158329301
(ILA),0.095477609,0.093225083,0.078888963,0.079158602,0.129672971,0.083333333,0.08660073,0.089723486,0.220685905,0.007684352,0.007960277,0.088360794,0.069857711,0.069292844,0.293516306,0.316532519,0.0963957,0.115386842,0.13184236,0.037206723,0.123768172,0.214456317,0.283741923,0.126564717,0.124234562,0.034583381,0.10777442,0.208543538,0.192190619,0.118065846,0.087659982,0.079158602,0.088360794,0.054270974,0.069857711,0.080871041,0.032490562,0.034730091,0.006346387,0.124234562,0.123768172,0.126564717,0.131635453,0.126564717,0.100024906,0.088360794,0.007284339,0.062559053,0.100325381,0.07100872,0.063138753,0.131635453,0.034583381,0.10777442,0.263738087
